Disziplin,Datum,Von,Bis,Art,Anlass,Anlass auf Schiessanlage?,Anderer Ort
G300,27/02/2025,20:00,22:00,Anderes,Generalversammlung ,Nein,Gurmels
G300,18/03/2025,19:00,21:00,Anderes,Theorie JS,Nein,Gurmels
G300,25/03/2025,19:00,21:00,Anderes,Theorie JS,Nein,Gurmels
G300,29/03/2025,13:00,16:00,JS,Schiessen Jungschützen,Ja,Gurmels
G300,04/04/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,05/04/2025,13:00,16:00,JS,Schiessen Jungschützen,Ja,Gurmels
G300,11/04/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,12/04/2025,13:00,16:00,JS,Schiessen Jungschützen,Ja,Gurmels
G300,16/04/2025,18:30,21:00,TR,Training,Ja,Gurmels
G300,25/04/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,26/04/2025,13:00,14:30,JS,Schiessen Jungschützen,Ja,Gurmels
G300,26/04/2025,14:30,16:00,OP,Obligatorisches Programm,Ja,Gurmels
G300,30/04/2025,18:30,21:00,TR,Training,Ja,Gurmels
G300,02/05/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,03/05/2025,13:00,16:00,JS,Schiessen Jungschützen,Ja,Gurmels
G300,07/05/2025,18:30,21:00,TR,Training,Ja,Gurmels
G300,09/05/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,10/05/2025,13:00,16:00,JS,Schiessen Jungschützen,Ja,Gurmels
G300,14/05/2025,18:30,21:00,TR,Training,Ja,Gurmels
G300,16/05/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,17/05/2025,13:00,16:00,JS,Schiessen Jungschützen,Ja,Gurmels
G300,21/05/2025,17:30,21:00,TR,Training,Ja,Gurmels
G300,22/05/2025,6:00,20:00,Anderes,Murtenschiessen/Brätle,Nein,Gurmels
G300,23/05/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,28/05/2025,18:30,21:00,TR,Training/Grillplausch,Ja,Gurmels
G300,30/05/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,06/06/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,07/06/2025,13:00,16:00,JS,Schiessen Jungschützen,Ja,Gurmels
G300,11/06/2025,18:30,21:00,TR,evt. Training,Ja,Gurmels
G300,13/06/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,17/06/2025,18:30,21:00,TR,evt. Training,Ja,Gurmels
G300,18/06/2025,18:30,21:00,TR,evt. Training,Ja,Gurmels
G300,20/06/2025,17:30,21:00,TR,Training,Ja,Gurmels
G300,21/06/2025,13:00,17:00,TR,Training,Ja,Gurmels
G300,25/06/2025,18:30,21:00,TR,Training,Ja,Gurmels
G300,26/06/2025,18:30,21:00,TR,evt. Training,Ja,Gurmels
G300,27/06/2025,6:00,20:00,Anderes,Ausflug Kantonales,Nein,Gurmels
G300,02/07/2025,18:30,21:00,TR,evt. Training,Ja,Gurmels
G300,04/07/2025,18:00,21:00,TR,evt. Training,Ja,Gurmels
G300,11/07/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,08/08/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,13/08/2025,18:00,20:00,OP,Obligatorisches Programm,Ja,Gurmels
G300,20/08/2025,18:30,21:00,TR,Training,Ja,Gurmels
G300,29/08/2025,18:00,21:00,TR,Training/Vorschiessen Ausschiessen,Ja,Gurmels
G300,03/09/2025,18:30,21:00,TR,evt. Training,Ja,Gurmels
G300,05/09/2025,18:00,21:00,TR,Training,Ja,Gurmels
G300,06/09/2025,13:30,18:00,Anderes,Ausschiessen,Ja,Gurmels
G300,10/09/2025,18:30,21:00,TR,evt. Training,Ja,Gurmels
G300,12/09/2025,20:00,22:00,Anderes,Rangverkündigung Ausschiessen,Nein,Gurmels
G300,26/09/2025,18:00,21:00,TR,evt. Training,Ja,Gurmels
G300,03/10/2025,18:00,21:00,TR,evt. Training,Ja,Gurmels
G300,10/10/2025,18:00,21:00,TR,evt. Training,Ja,Gurmels
